"filename", "language", "XML", "C#", "JSON", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\LearningTopicsRepository.cs", "C#", 0, 94, 0, 0, 0, 0, 0, 0, 18, 112
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\OrderItemRepository.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\OrderRepository.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\ProductRepository.cs", "C#", 0, 52, 0, 0, 0, 0, 0, 0, 13, 65
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\ProgrammingTaskRepository.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 9, 54
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\ShippingInformationRepository.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\ShoppingCartItemRepository.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 9, 48
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\SubTopicsRepository.cs", "C#", 0, 55, 0, 0, 0, 0, 0, 0, 10, 65
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\SubmissionRepository.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\UserRepository.cs", "C#", 0, 49, 0, 0, 0, 0, 0, 0, 18, 67
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Services\HashService.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Services\JwtService.cs", "C#", 0, 46, 0, 0, 0, 0, 0, 0, 8, 54
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Settings\JwtSettings.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming\Controllers\LearningTopicsController.cs", "C#", 0, 87, 0, 0, 0, 0, 0, 0, 25, 112
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming\Controllers\OrderController.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming\Controllers\OrderItemController.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming\Controllers\ProductController.cs", "C#", 0, 90, 0, 0, 0, 0, 0, 0, 25, 115
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming\Controllers\ProgrammingTaskController.cs", "C#", 0, 100, 0, 0, 0, 0, 0, 0, 29, 129
